Title,Rating,Reviews,Discount Price,Original Price,Off
Tecno Spark 30,3.3,1.0,36899.0,39999.0,8%
Nokia 105 Classic,5.0,67.0,3749.0,4199.0,11%
Infinix Note 40,2.1,189.0,48999.0,57999.0,16%
Jazz Digit E2 Pro 4G,4.0,132.0,6199.0,9499.0,35%
Xiaomi Redmi Note 13,1.3,425.0,42999.0,52999.0,19%
AllCall Shine 12 Pro,1.2,,19199.0,20999.0,9%
Xiaomi Redmi 14C,2.4,22.0,27999.0,29999.0,7%
VGO TEL Note 23,2.8,331.0,26999.0,31999.0,16%
Infinix Hot 50i,3.4,2.0,30399.0,32999.0,8%
Vivo Y03t,1.2,3.0,25100.0,27999.0,10%
Infinix Hot 40,4.6,190.0,34799.0,37999.0,8%
Samsung Galaxy A05s,2.9,88.0,33500.0,38500.0,13%
Nokia 105 2023,2.0,85.0,4099.0,4999.0,18%
Nokia 125 (2024),1.9,5.0,5949.0,5999.0,1%
Calme 4g Premium,2.9,8.0,9299.0,9950.0,7%
Samsung Galaxy A55 5G,4.9,70.0,122500.0,139999.0,12%
ZTE Nubia Music,2.0,2.0,23399.0,24999.0,6%
Tecno Camon 30S,4.2,4.0,53999.0,59999.0,10%
Infinix Zero 40 4G,1.2,5.0,63500.0,69999.0,9%
Tecno Spark Go 1,1.4,7.0,23399.0,25999.0,10%
Realme Note 60,1.1,17.0,23899.0,26999.0,11%
Tecno SPARK 30C,3.4,4.0,29099.0,32999.0,12%
GFive 4G Smart,2.5,,6399.0,7999.0,20%
Nokia 108 (2024),2.6,6.0,,4999.0,
Realme C63,2.2,51.0,31899.0,36999.0,14%
Qmobile QSmart Ultra,4.7,23.0,22999.0,29999.0,23%
Infinix Note 40 Pro Plus,3.4,3.0,75999.0,99999.0,24%
Jazz Digit Energy 4G,4.9,95.0,5999.0,7199.0,17%
Samsung Galaxy A24 4G,1.7,178.0,57499.0,79999.0,28%
AllCall Shine 12T,2.2,2.0,16799.0,18499.0,9%
Infinix Hot 50 Pro,1.9,4.0,42499.0,44999.0,6%
Sparx Note 12,1.2,2.0,24299.0,27499.0,12%
Nokia 106 2023,4.0,125.0,4699.0,4999.0,6%
MeMobile Power Pro,2.0,1.0,2499.0,3999.0,38%
Sparx Neo 7 Ultra,4.9,168.0,22899.0,27499.0,17%
Xiaomi Redmi 10A,4.0,245.0,20499.0,29999.0,32%
Itel It2165,1.9,13.0,,2349.0,
Nokia 106 2023,4.3,125.0,4699.0,4999.0,6%
Xiaomi Redmi 10A,2.5,245.0,20499.0,29999.0,32%
ZTE Nubia V60 Design,1.2,15.0,26999.0,30999.0,13%
Nokia 5310 (2020),2.5,19.0,9599.0,10399.0,8%
Vivo Y100,4.7,29.0,50799.0,56999.0,11%
Dcode Cygnal 2,2.6,15.0,17999.0,25999.0,31%
Itel A50,2.0,3.0,16999.0,19999.0,15%
Tecno SPARK 30 Pro,4.9,12.0,40799.0,45999.0,11%
Sparx Neo X,2.2,69.0,19199.0,31999.0,40%
Infinix Smart 8 Pro,2.2,90.0,24999.0,27999.0,11%
Honor X6a,2.3,48.0,24799.0,30999.0,20%
itel P55 Plus,3.9,2.0,27499.0,32999.0,17%
Xiaomi Poco C75,3.1,3.0,34699.0,36999.0,6%
Sparx Neo 8,2.2,,21399.0,29499.0,27%
itel Muzik 410 Pro,4.5,,3999.0,4299.0,7%
ZTE Blade V60 Smart,2.4,1.0,23999.0,25999.0,8%
Infinix Smart 7 HD,2.8,84.0,17499.0,18999.0,8%
Infinix Smart 9 HD,4.4,,23999.0,25999.0,8%
Itel P55,1.3,22.0,22399.0,27999.0,20%
Infinix Hot 50,1.8,3.0,37899.0,39999.0,5%
Samsung Galaxy A06,1.3,10.0,24999.0,26999.0,7%
Villaon V30,1.3,12.0,12899.0,13999.0,8%
GFive 6700 4G (2024),3.0,28.0,6299.0,8000.0,21%
Xiaomi Redmi 13,2.8,81.0,34499.0,39999.0,14%
Honor X7b,4.9,6.0,47499.0,59999.0,21%
Xiaomi Redmi A3,1.3,270.0,19899.0,23999.0,17%
Vivo V40,4.6,5.0,125499.0,139999.0,10%
itel Muzik 400,3.5,46.0,,4699.0,
Tecno Spark 20,2.0,240.0,30199.0,32999.0,8%
Infinix Smart 8 Plus,4.3,95.0,23399.0,26999.0,13%
Itel It5361,3.2,5.0,3999.0,4199.0,5%
Xiaomi Redmi Note 13 Pro Plus,3.0,49.0,131999.0,146999.0,10%
Vivo V40e,3.5,,88999.0,99999.0,11%
Calme Hero 4G,1.7,52.0,7599.0,10199.0,25%
Oppo A60,2.9,5.0,50399.0,54999.0,8%
Oppo A3x,1.3,7.0,31899.0,34999.0,9%
Samsung Galaxy A35 5G,2.3,22.0,99999.0,119999.0,17%
Samsung Galaxy A25,2.7,17.0,71999.0,98500.0,27%
GFive Style 4G,3.5,20.0,5999.0,8000.0,25%
Itel it2166,3.9,36.0,,2649.0,
VGO TEL New 24,4.2,91.0,19499.0,20999.0,7%
Sparx Neo 7 Pro,4.9,25.0,19999.0,27499.0,27%
Digit 4G Energy Max,4.6,24.0,8399.0,9999.0,16%
Oppo A18,4.7,17.0,29000.0,31999.0,9%
Realme 12 4G,2.1,5.0,54199.0,59999.0,10%
Faywa Smart Flip,3.1,,,3799.0,
Realme C61,3.0,20.0,29600.0,32999.0,10%
Dcode Bold 3,1.1,48.0,29599.0,39999.0,26%
Samsung Galaxy S24 Ultra,4.4,44.0,410999.0,469999.0,13%
Oppo A3,2.8,2.0,45800.0,49999.0,8%
Xiaomi Redmi Note 13 Pro,3.6,295.0,61499.0,74999.0,18%
VGO TEL New 16,1.0,21.0,17999.0,18599.0,3%
Nokia 6310 (2021),3.3,11.0,10599.0,11399.0,7%
Infinix Smart 8,1.4,99.0,21999.0,24999.0,12%
Oppo A78,1.6,28.0,58299.0,64999.0,10%
Samsung Galaxy A05,2.8,270.0,20999.0,24999.0,16%
Sparx ultra 8 pro,3.4,4.0,31399.0,35993.0,13%
Infinix GT 20 Pro,3.3,23.0,88499.0,99999.0,12%
Itel It 5031,1.3,3.0,,3599.0,
Calme C885,4.6,,,3249.0,
Realme C53,4.3,98.0,30099.0,34999.0,14%
itel A70,4.7,48.0,19499.0,23999.0,19%
Samsung Galaxy S24 Ultra (12GB-256GB),3.4,26.0,383999.0,434999.0,12%
Tecno Spark Go 2023,3.1,65.0,20999.0,30999.0,32%
Calme Four Sim,4.3,,,3549.0,
Faywa Diamond,4.8,15.0,3599.0,4000.0,10%
VGO Tel New 26,3.4,3.0,25599.0,27500.0,7%
Nokia 110 2023,1.8,1.0,5999.0,6899.0,13%
VGO TEL Smart HI-FI,4.6,5.0,4899.0,5324.0,8%
Faywa Smart 4G,1.4,8.0,7349.0,9499.0,23%
Infinix Hot 50 Pro Plus,2.8,4.0,,59499.0,
itel P65,4.5,2.0,,27999.0,
Calme Music 400,3.0,,,3499.0,
Itel Power 700 2024,1.2,,4399.0,4499.0,2%
Itel Muzik 430,3.5,26.0,3640.0,3799.0,4%
Sparx Edge 20 Pro,2.5,42.0,41999.0,52499.0,20%
GFive 16 Pro Max,2.9,,4599.0,5999.0,23%
Calme 4G Hot,2.2,15.0,5199.0,5200.0,0%
